board,placements_count
"Aero Trails — Calido",2
"Aero Trails — Hub City",4
"Aero Trails — Pavilion",7
"Aero Trails — Solace 1",1
"Aero Trails — Solace 2",1
"Aero Trails — Solace 3",1
"Calido Purple — Astro IV",1
"Calido Purple — Bubblejett Bonanza 2023",1
"Calido Purple — Bubblejett Bonanza OG Custom 2023",0
"Calido Purple — Bubblejett Sprinter 2022",1
"Calido Purple — Bubblejett Sprinter OG Custom 2022",1
"Calido Purple — Bubblejett Super Phantom",0
"Calido Purple — GTi Javelin 2022",0
"Calido Purple — Kazekura Shinobi-X",1
"Calido Purple — Rando's Metalworks Sunset Speeder",0
"Calido Purple — Valkyrie F9-R",0
"Calido Purple — Valley Raceworx T1-A",0
"Calido Purple — Valley Raceworx T1-B",0
"Calido Purple — Valley Raceworx T1-C",0
"Calido Purple — Valley Raceworx T3 2023",0
"Calido Red — Astro IV",0
"Calido Red — Bubblejett Bonanza 2023",0
"Calido Red — Bubblejett Bonanza OG Custom 2023",0
"Calido Red — Bubblejett Sprinter 2022",1
"Calido Red — Bubblejett Sprinter OG Custom 2022",0
"Calido Red — Bubblejett Super Phantom",0
"Calido Red — GTi Javelin 2022",0
"Calido Red — Kazekura Shinobi-X",1
"Calido Red — Rando's Metalworks Sunset Speeder",0
"Calido Red — Valkyrie F9-R",0
"Calido Red — Valley Raceworx T1-A",0
"Calido Red — Valley Raceworx T1-B",0
"Calido Red — Valley Raceworx T1-C",0
"Calido Red — Valley Raceworx T3 2023",0
"Calido Yellow — Astro IV",1
"Calido Yellow — Bubblejett Bonanza 2023",0
"Calido Yellow — Bubblejett Bonanza OG Custom 2023",0
"Calido Yellow — Bubblejett Sprinter 2022",0
"Calido Yellow — Bubblejett Sprinter OG Custom 2022",0
"Calido Yellow — Bubblejett Super Phantom",1
"Calido Yellow — GTi Javelin 2022",0
"Calido Yellow — Kazekura Shinobi-X",2
"Calido Yellow — Rando's Metalworks Sunset Speeder",5
"Calido Yellow — Valkyrie F9-R",2
"Calido Yellow — Valley Raceworx T1-A",0
"Calido Yellow — Valley Raceworx T1-B",2
"Calido Yellow — Valley Raceworx T1-C",0
"Calido Yellow — Valley Raceworx T3 2023",1
"Holocache",6
